"","fulldata$member_casual","fulldata$day_of_week","fulldata$ride_length"
"1","casual","Friday",2038.85738662466
"2","member","Friday",912.364886874042
"3","casual","Monday",2129.7886134784
"4","member","Monday",882.302371617265
"5","casual","Saturday",2316.60645008167
"6","member","Saturday",1027.36016793754
"7","casual","Sunday",2406.16150973545
"8","member","Sunday",1030.68886626104
"9","casual","Thursday",1937.99043051325
"10","member","Thursday",878.150346024555
"11","casual","Tuesday",2000.28180204913
"12","member","Tuesday",875.582903081849
"13","casual","Wednesday",1922.82655820117
"14","member","Wednesday",879.517759812029
